student_id,first_name,last_name,section,quiz1,quiz2,quiz3,quiz4,quiz5,midterm,final,attendance
S001,Mhelby,Abundo,BSIT-1A,85,90,88,92,89,87,91,100
S002,Marc,Angelo,BSIT-1A,78,80,82,79,85,83,86,95
S003,Trish,Marie,BSIT-1A,92,94,90,93,91,94,96,98
S004,Luis,Alegre,BSIT-1B,70,75,68,72,74,78,80,88
S005,Alexa,Jane,BSIT-1B,88,90,86,91,89,85,90,97
S006,John,Paul,BSIT-1B,95,92,94,96,93,97,98,99
S007,Sarah,Lynn,BSIT-1C,60,65,62,68,64,70,72,85
S008,Mark,Anthony,BSIT-1C,82,84,80, 83,81,79,85,90
S009,Emily,Grace,BSIT-1C,91,93,89,92,90,95,94,96
S010,David,James,BSIT-1A,76,78,74,77,75,80,82,90
S011,Nina,Marie,BSIT-1B,89,91,87,90,88,86,92,98
S012,Kevin,Lee,BSIT-1C,84,86,82,85,83,81,88,92
S013,Lara,Croft,BSIT-1A,93,95,91,94,92,96,97,99
S014,Tom,Hanks,BSIT-1B,67,70,65,69,68,72,74,87
S015,Alice,Wonder,BSIT-1C,90,92,88,91,89,94,95,97
S016,Bob,Builder,BSIT-1A,81,83,79,82,80,84,86,93
S017,Cathy,Smith,BSIT-1B,73,76,71,74,72,77,79,89
S018,Daniel,Johnson,BSIT-1C,88,90,86,89,87,91,93,95
S019,Eva,Green,BSIT-1A,94,96,92,95,93,98,99,100
S020,Frank,Ocean,BSIT-1B,66,69,64,67,65,71,73,86        
